# data
 3.78034 82.3561
 -3.86818 65.1397
 15.8429 53.9287
 0.248109 41.0792
 13.3327 32.5999
 22.4484 27.2542
 17.3361 21.8591
 13.7336 16.7321
 25.6253 14.9488
 25.007 13.6121
 46.2468 17.0186
 30.7172 17.2224
 39.2096 19.3538
 38.8341 21.381
 31.7216 21.9293
 31.6319 22.5458
 30.1285 22.9201
 52.0842 27.7548
 31.6416 28.0206
 16.2763 25.2327
 37.2726 27.0225
 41.7843 29.5616
 28.8471 29.25
 51.5037 33.5239
 44.0538 35.8126
 54.8683 39.9714
 55.1532 43.6533
 52.2055 46.2393
 60.2626 50.0388
 71.5825 55.5469
 68.7691 59.7114
 59.5073 61.3718
 83.0231 67.3659
 79.059 71.6816
 69.6477 73.3994
 81.7257 77.1143
 89.1152 81.6563
 79.4648 83.5089
 78.1489 84.647
 94.5087 88.6995
 71.8572 87.5274
 85.6892 89.0426
 84.2904 89.908
 91.7227 91.9745
 109.733 97.2246
 94.8976 98.7078
 92.9439 99.4274
 95.8474 100.454
 94.9304 101
 87.0367 99.7366
 95.1188 100.088
 114.971 104.241
 120.047 108.792
 97.7443 108.198
 103.283 108.622
 130.696 114.336
 118.587 116.813
 117.381 118.589
 135.182 123.546
 103.064 121.32
 130.68 124.698
 126.859 126.755
 134.156 129.863
 119.025 129.409
 144.167 133.866
 140.573 136.919
 122.643 135.849
 137.86 137.772
 150.41 141.822
 140.812 143.314
 140.821 144.459
 136.517 144.442
 147.652 146.497
 139.991 146.632
 160.461 150.701
 154.176 152.894
 157.958 155.431
 158.333 157.586
 161.188 159.896
 174.417 164.415
 163.422 166.032
 180.277 170.644
 180.022 174.475
 175.506 176.748
 174.326 178.306
 175.59 179.725
 178.269 181.313
 160.476 178.964
 190.906 182.802
 180.738 184
 194.301 187.606
 196.909 191.146
 181.581 191.028
 191.426 192.714
 213.048 198.361
 193.782 199.319
 204.758 202.17
 170.434 197.638
 214.453 202.272
 200.356 203.403



